Filename,a-pinene,linalool,methyl 2-hydroxybenzoate,b-caryophyllene,a-farnesene,benzaldehyde,indole,a-farnesol,(E)-hex-3-en-1-ol
ALK3uL0.01_7232019_11.qgd,0,0,757413,970918,0,367686,0,831885,191848
STD3uL0.0001_7232019_02.qgd,57770,486600,414500,63435,0,321420,360583,0,234414
STD3uL0.0001rep2_7232019_02.qgd,48780,281079,248025,242923,0,173789,78333,337083,138464
STD3uL0.0001rep3_7232019_03.qgd,79720,432914,401675,0,0,183857,42214,0,268539
STD3uL0.001_7232019_03.qgd,326853,2030951,1248361,461475,0,667608,411108,477582,553893
STD3uL0.001rep2_7232019_04.qgd,210672,1693160,889570,400777,0,147435,194212,383498,479431
STD3uL0.001rep3_7232019_05.qgd,261833,2791883,1737643,661804,0,249480,534594,694728,581184
STD3uL0.01_7232019_04.qgd,1277536,13451650,8605408,2796375,0,328853,3314727,4505894,3347414
STD3uL0.01rep2_7232019_06.qgd,2405694,22496887,15868839,7267753,0,245534,5128856,3921875,6559871
STD3uL0.01rep3_7232019_07.qgd,2387333,19390272,12557274,5511999,0,374520,4334684,4825682,5260679
STD3uL0.01rep4_7232019_08.qgd,72192,0,289449,0,0,453335,15982961,0,0
STD3uL0.1_7232019_05.qgd,8143254,55984317,34222523,18042037,244252,113244,15777520,17667330,26442179
STD3uL0.1rep2_7232019_09.qgd,6628885,64799750,41864806,21579392,393196,194926,19855586,22040632,26401434
STD3uL0.1rep3_7232019_10.qgd,9063778,92716679,61367475,31515569,305083,212454,31963584,30296877,38430858
apinene_3octanone_3uL0.01rep1_7242019_07.qgd,1980110,165501,383299,193085,0,459708,183312,537983,0
apinene_3octanone_3uL0.01rep2_7242019_08.qgd,2901704,168112,358067,63564,0,158768,0,0,0
apinene_3octanone_3uL0.1rep1_7242019_09.qgd,12124060,1200326,658741,194354,0,371791,310068,158005,677529
apinene_3octanone_3uL0.1rep2_7242019_10.qgd,13646047,204722,364109,0,0,309983,0,0,0
STD3uL0.0001rep1_7242019_02.qgd,78704,691457,934921,151536,0,302311,248702,452179,296662
STD3uL0.0001rep2_7242019_03.qgd,108029,519045,631387,133820,0,449604,0,499254,329107
